Calidad de los materiales;;;
;;;
CEPAL/CELADE Redatam+SP 7/23/2015;;;
;;;
Base de datos;;;
 Censo de Población, Hogares y Viviendas 2010;;;
Área Geográfica;;;
 Sels\Prov02.sel;;;
Título;;;
 Calidad de los materiales;;;
Frecuencia;;;
  de Calidad de los materiales;;;
;;;
AREA # 020010101;1;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;32;49;49
Calidad 2;23;35;85
Calidad 3;8;12;97
Calidad 4;2;3;100
Total;65;100;100
;;;
NSA :;28;;
;;;
AREA # 020010201;2;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;14;9;9
Calidad 2;53;33;42
Calidad 3;71;44;86
Calidad 4;23;14;100
Total;161;100;100
;;;
NSA :;1;;
;;;
AREA # 020010202;3;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;21;16;16
Calidad 2;44;34;51
Calidad 3;58;45;96
Calidad 4;5;4;100
Total;128;100;100
;;;
NSA :;4;;
;;;
AREA # 020010203;4;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;10;10;10
Calidad 2;26;25;35
Calidad 3;67;64;99
Calidad 4;1;1;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;20;12;12
Calidad 2;48;29;42
Calidad 3;89;55;96
Calidad 4;6;4;100
Total;163;100;100
;;;
NSA :;1;;
;;;
AREA # 020010205;6;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;17;18;18
Calidad 2;25;26;44
Calidad 3;48;51;95
Calidad 4;5;5;100
Total;95;100;100
;;;
AREA # 020010206;7;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;20;9;9
Calidad 2;74;34;44
Calidad 3;104;48;92
Calidad 4;17;8;100
Total;215;100;100
;;;
AREA # 020010207;8;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;10;7;7
Calidad 2;70;46;53
Calidad 3;66;44;97
Calidad 4;5;3;100
Total;151;100;100
;;;
AREA # 020010208;9;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;10;7;7
Calidad 2;84;58;65
Calidad 3;40;28;92
Calidad 4;11;8;100
Total;145;100;100
;;;
AREA # 020010209;10;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
Calidad 1;19;12;12
Calidad 2;62;40;52
Calidad 3;69;44;96
Calidad 4;6;4;100
Total;156;100;100
;;;
AREA # 020010210;11;;
;;;
Calidad de los materiales;Casos;%;Acumulado %
